"","rank","name","state_name","early_career_pay","mid_career_pay","make_world_better_percent","stem_percent","CCBASIC","UGDS","LOCALE","CCSIZSET","CONTROL","CCBASIC_words"
"213",2,"University of Notre Dame","Indiana",67000,130500,45,28,"15","8568","21","17",2,"Doctoral Universities: Very High Research Activity"
"214",3,"Wabash College","Indiana",62200,114400,40,34,"21","881","32","8",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"215",4,"Purdue University-Main Campus","Indiana",60900,110000,48,38,"15","33495","13","16",1,"Doctoral Universities: Very High Research Activity"
"216",5,"DePauw University","Indiana",56600,101000,47,24,"21","2141","32","11",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"217",6,"Trine University","Indiana",55100,100300,56,26,"19","2059","32","11",2,"Master's Colleges & Universities: Medium Programs"
"218",7,"Butler University","Indiana",51800,99300,53,9,"18","4553","11","14",2,"Master's Colleges & Universities: Larger Programs"
"219",8,"Valparaiso University","Indiana",53300,98000,52,31,"17","3170","21","14",2,"Doctoral/Professional Universities"
"220",9,"Indiana University-Bloomington","Indiana",53600,97100,47,16,"15","32991","13","16",1,"Doctoral Universities: Very High Research Activity"
"221",10,"Taylor University","Indiana",48700,90600,59,16,"22","1888","32","11",2,"Baccalaureate Colleges: Diverse Fields"
"222",11,"University of Evansville","Indiana",50300,89900,54,17,"20","2018","12","11",2,"Master's Colleges & Universities: Small Programs"
"223",12,"Saint Mary's College","Indiana",49700,89300,54,15,"21","1439","21","11",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"224",13,"Earlham College","Indiana",49100,88400,57,31,"21","1025","32","11",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"225",14,"Indiana University-Purdue University-Indianapolis","Indiana",50500,88200,55,15,"16","20651","11","15",1,"Doctoral Universities: High Research Activity"
"226",15,"Holy Cross College","Indiana",48100,87800,NA,0,"22","498","21","8",2,"Baccalaureate Colleges: Diverse Fields"
"227",16,"Franklin College","Indiana",48900,86200,45,21,"21","925","21","8",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"228",17,"Indiana State University","Indiana",47900,85600,55,8,"17","10348","13","16",1,"Doctoral/Professional Universities"
"229",18,"Hanover College","Indiana",47500,85100,53,24,"21","1099","32","11",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"230",19,"Indiana Institute of Technology","Indiana",50000,84900,46,11,"19","1524","11","12",2,"Master's Colleges & Universities: Medium Programs"
"231",20,"Manchester University","Indiana",46900,84700,56,10,"22","1186","32","11",2,"Baccalaureate Colleges: Diverse Fields"
"232",21,"University of Indianapolis","Indiana",47300,84500,55,5,"17","4487","11","13",2,"Doctoral/Professional Universities"
"233",22,"Ball State University","Indiana",45600,83700,48,7,"16","15529","13","16",1,"Doctoral Universities: High Research Activity"
"234",22,"University of Saint Francis-Fort Wayne","Indiana",45700,83700,63,5,"18","1774","11","9",2,"Master's Colleges & Universities: Larger Programs"
"235",24,"Indiana University-Purdue University-Fort Wayne","Indiana",47300,83200,52,17,NA,NA,NA,NA,NA,NA
"236",25,"Marian University (Indiana)","Indiana",48400,82000,51,3,NA,NA,NA,NA,NA,NA
"237",1,"Iowa State University","Iowa",56100,101300,48,31,"15","29248","13","16",1,"Doctoral Universities: Very High Research Activity"
"238",2,"Drake University","Iowa",52800,99900,49,7,"17","2952","12","14",2,"Doctoral/Professional Universities"
